,Transaction ID,Item,Quantity,Price Per Unit,Total Spent,Payment Method,Location,Transaction Date,Month
0,TXN_1961373,Coffee,2.0,2.0,4.0,Credit Card,Takeaway,2023-09-08,9
1,TXN_4977031,Cake,4.0,3.0,12.0,Cash,In-store,2023-05-16,5
2,TXN_4271903,Cookie,4.0,1.0,4.0,Credit Card,In-store,2023-07-19,7
3,TXN_7034554,Salad,2.0,5.0,10.0,Credit Card,Takeaway,2023-04-27,4
4,TXN_3160411,Coffee,2.0,2.0,4.0,Digital Wallet,In-store,2023-06-11,6
5,TXN_2602893,Smoothie,5.0,4.0,20.0,Credit Card,Takeaway,2023-03-31,3
6,TXN_4433211,Juice,3.0,3.0,9.0,Credit Card,Takeaway,2023-10-06,10
7,TXN_6699534,Sandwich,4.0,4.0,16.0,Cash,Takeaway,2023-10-28,10
8,TXN_4717867,Juice,5.0,3.0,15.0,Credit Card,Takeaway,2023-07-28,7
9,TXN_2064365,Sandwich,5.0,4.0,20.0,Credit Card,In-store,2023-12-31,12
10,TXN_2548360,Salad,5.0,5.0,25.0,Cash,Takeaway,2023-11-07,11
12,TXN_7619095,Sandwich,2.0,4.0,8.0,Cash,In-store,2023-05-03,5
13,TXN_9437049,Cookie,5.0,1.0,5.0,Credit Card,Takeaway,2023-06-01,6
14,TXN_8915701,Juice,2.0,1.5,3.0,Credit Card,In-store,2023-03-21,3
15,TXN_2847255,Salad,3.0,5.0,15.0,Credit Card,In-store,2023-11-15,11
16,TXN_3765707,Sandwich,1.0,4.0,4.0,Credit Card,Takeaway,2023-06-10,6
17,TXN_6769710,Juice,2.0,3.0,6.0,Cash,In-store,2023-02-24,2
18,TXN_8876618,Cake,5.0,3.0,15.0,Cash,Takeaway,2023-03-25,3
19,TXN_3709394,Juice,4.0,3.0,12.0,Cash,Takeaway,2023-01-15,1
20,TXN_3522028,Smoothie,3.0,4.0,12.0,Cash,In-store,2023-04-04,4
21,TXN_3567645,Smoothie,4.0,4.0,16.0,Credit Card,Takeaway,2023-03-30,3
22,TXN_5132361,Sandwich,3.0,4.0,12.0,Digital Wallet,Takeaway,2023-12-01,12
23,TXN_2616390,Sandwich,2.0,4.0,8.0,Credit Card,Takeaway,2023-09-18,9
24,TXN_9400181,Sandwich,5.0,4.0,20.0,Cash,In-store,2023-06-03,6
25,TXN_7958992,Smoothie,3.0,4.0,12.0,Credit Card,Takeaway,2023-12-13,12
26,TXN_5183041,Cookie,5.0,1.0,5.0,Credit Card,In-store,2023-04-20,4
27,TXN_5695074,Juice,4.0,3.0,12.0,Credit Card,Takeaway,2023-04-10,4
28,TXN_8467949,Smoothie,5.0,4.0,20.0,Credit Card,Takeaway,2023-03-11,3
30,TXN_1736287,Juice,5.0,2.0,10.0,Digital Wallet,Takeaway,2023-06-02,6
31,TXN_8927252,Juice,2.0,1.0,2.0,Credit Card,Takeaway,2023-11-06,11
32,TXN_9677376,Smoothie,4.0,4.0,16.0,Credit Card,In-store,2023-08-15,8
34,TXN_8853997,Smoothie,2.0,4.0,8.0,Digital Wallet,Takeaway,2023-10-09,10
35,TXN_9130559,Sandwich,1.0,4.0,4.0,Credit Card,Takeaway,2023-05-28,5
36,TXN_6855453,Juice,4.0,3.0,12.0,Credit Card,In-store,2023-07-17,7
37,TXN_1080432,Salad,2.0,5.0,10.0,Credit Card,In-store,2023-04-29,4
38,TXN_2655815,Smoothie,4.0,4.0,16.0,Credit Card,Takeaway,2023-06-08,6
39,TXN_6688524,Coffee,4.0,2.0,8.0,Credit Card,Takeaway,2023-06-29,6
